worker 1004: 25/280 games, 1362 positions
worker 1004: 50/280 games, 2779 positions
worker 1004: 75/280 games, 4002 positions
worker 1004: 100/280 games, 5382 positions
worker 1004: 125/280 games, 6965 positions
worker 1004: 150/280 games, 8278 positions
worker 1004: 175/280 games, 9449 positions
worker 1004: 200/280 games, 10975 positions
worker 1004: 225/280 games, 12143 positions
worker 1004: 250/280 games, 13300 positions
worker 1004: 275/280 games, 14405 positions
worker 1004 done: 14631 positions
